decade,position,artist,album,indicativerevenue,us,uk,de,fr,ca,au
"2000s","176","Keith Urban","Golden Road","41267.5103366663","11","-","-","-","-","29"
"2000s","177","Sade","Lovers Rock","41220.9549392705","3","18","4","4","13","28"
"2000s","178","Dave Matthews Band","Everyday","41032.9575794481","1","89","97","-","1","-"
"2000s","179","Akon","Trouble","40745.2223856375","18","1","24","11","-","12"
"2000s","180","Pink","Can't Take Me Home","40586.7528569592","26","13","85","-","20","10"
"2000s","181","Martina McBride","Greatest Hits","40497.7757756783","5","-","-","-","-","-"
"2000s","182","The Corrs","In Blue","40470.6229350122","21","1","1","2","-","1"
"2000s","183","Kings of Leon","Only By The Night","40247.8689588428","4","1","16","38","2","1"
"2000s","184","Mary J Blige","The Breakthrough","40086.8583817024","1","22","28","25","-","19"
"2000s","185","Joss Stone","Mind Body & Soul","39920.6552977126","11","1","7","9","-","7"
"2000s","186","Incubus","Make Yourself","39841.0205561345","47","83","56","-","-","24"
"2000s","187","Train","Drops Of Jupiter","39837.2539882166","6","8","35","-","14","3"
"2000s","188","Kenny Chesney","Greatest Hits","39783.804378219","13","-","-","-","-","-"
"2000s","189","Toby Keith","Shock'n Y'All","39768.5442359707","1","-","-","-","-","-"
"2000s","190","Kid Rock","Rock 'n' Roll Jesus","39643.6138054174","1","4","5","58","4","9"
"2000s","191","Ja Rule","Rule 3:36","39426.2714053919","1","83","72","-","8","-"
"2000s","192","Lee Ann Womack","I Hope You Dance","39389.4629440389","16","-","-","-","-","-"
"2000s","193","The Rolling Stones","Forty Licks","38897.7483753852","2","2","2","-","2","3"
"2000s","194","Ludacris","Word Of Mouth","38729.0800825033","3","57","98","-","-","-"
"2000s","195","Rascal Flatts","Melt","38666.3338007836","5","-","-","-","-","-"
"2000s","196","Toni Braxton","The Heat","38586.3714113758","2","3","3","9","1","14"
"2000s","197","Chingy","Jackpot","38540.3091308705","2","73","42","65","-","36"
"2000s","198","blink-182","Enema Of The State","38534.5069468554","12","15","18","60","-","4"
"2000s","199","Janet Jackson","All For You","38496.633248539","1","2","3","2","1","3"
"2000s","200","OutKast","Stankonia","38390.09285885","2","10","6","26","4","33"
